Rank,Team,Players,YRS,Value,AAV
,Los Angeles Angels,4,17,"$321,150,000","$18,891,176"
,Detroit Tigers,3,12,"$221,000,000","$18,416,667"
,Miami Marlins,6,18,"$203,300,000","$11,294,444"
,Philadelphia Phillies,7,11,"$57,650,000","$5,240,909"
,Los Angeles Dodgers,9,13,"$44,651,311","$3,434,716"
,St. Louis Cardinals,5,7,"$40,850,000","$5,835,714"
,Milwaukee Brewers,3,5,"$40,250,000","$8,050,000"
,Colorado Rockies,4,7,"$39,900,000","$5,700,000"
,Minnesota Twins,4,7,"$32,750,000","$4,678,571"
,New York Mets,7,8,"$20,400,000","$2,550,000"
,Texas Rangers,4,5,"$19,000,000","$3,800,000"
,Washington Nationals,6,6,"$18,650,000","$3,108,333"
,Arizona Diamondbacks,4,6,"$17,750,000","$2,958,333"
,Tampa Bay Rays,4,4,"$15,950,000","$3,987,500"
,Oakland Athletics,3,4,"$15,414,066","$3,853,517"
,Pittsburgh Pirates,3,4,"$14,500,000","$3,625,000"
,Chicago Cubs,3,4,"$14,150,000","$3,537,500"
,New York Yankees,9,8,"$9,100,000","$1,137,500"
,Baltimore Orioles,5,6,"$6,675,000","$1,112,500"
,Boston Red Sox,3,3,"$6,000,000","$2,000,000"
,Cincinnati Reds,4,4,"$5,100,000","$1,275,000"
,Kansas City Royals,2,2,"$5,000,000","$2,500,000"
,San Francisco Giants,3,3,"$4,800,000","$1,600,000"
,Atlanta Braves,1,1,"$1,000,000","$1,000,000"
,Chicago White Sox,1,1,"$900,000","$900,000"
,Houston Astros,1,1,"$750,000","$750,000"
