"Rank","Team","Players","YRS","Value","AAV",""
"","Texas Rangers","8","26","$580,700,000","$22,334,615",""
"","Los Angeles Dodgers","9","17","$267,800,000","$15,752,941",""
"","New York Mets","6","13","$259,270,000","$19,943,846",""
"","Detroit Tigers","4","14","$235,500,000","$16,821,429",""
"","Philadelphia Phillies","7","14","$204,150,000","$14,582,143",""
"","Colorado Rockies","5","11","$195,350,000","$17,759,091",""
"","Boston Red Sox","6","12","$173,000,000","$14,416,667",""
"","Toronto Blue Jays","6","10","$157,000,000","$15,700,000",""
"","San Francisco Giants","7","12","$140,700,000","$11,725,000",""
"","Los Angeles Angels","9","13","$123,750,000","$9,519,231",""
"","Minnesota Twins","4","6","$116,550,000","$19,425,000",""
"","Seattle Mariners","2","6","$115,700,000","$19,283,333",""
"","Chicago Cubs","11","14","$109,707,000","$7,836,214",""
"","Miami Marlins","2","7","$89,000,000","$12,714,286",""
"","Houston Astros","3","5","$69,100,000","$13,820,000",""
"","Chicago White Sox","5","9","$63,000,000","$7,000,000",""
"","Atlanta Braves","6","10","$61,250,000","$6,125,000",""
"","St. Louis Cardinals","4","7","$52,700,000","$7,528,571",""
"","New York Yankees","4","5","$37,400,000","$7,480,000",""
"","San Diego Padres","3","6","$32,500,000","$5,416,667",""
"","Washington Nationals","5","5","$23,750,000","$4,750,000",""
"","Arizona Diamondbacks","3","4","$23,250,000","$5,812,500",""
"","Tampa Bay Rays","4","4","$18,900,000","$4,725,000",""
"","Cincinnati Reds","4","4","$14,825,000","$3,706,250",""
"","Pittsburgh Pirates","6","6","$14,100,000","$2,350,000",""
"","Kansas City Royals","2","2","$13,975,000","$6,987,500",""
"","Milwaukee Brewers","5","4","$13,625,000","$3,406,250",""
"","Baltimore Orioles","3","3","$7,900,000","$2,633,333",""
"","Cleveland Guardians","2","2","$3,900,000","$1,950,000",""
"","Oakland Athletics","2","2","$1,700,000","$850,000",""
