Rank,Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV
1,Gerrit Cole,2020,SP,UFA,HOU,NYY,9,"$324,000,000","$36,000,000"
2,Stephen Strasburg,2020,SP,UFA,WSH,WSH,7,"$245,000,000","$35,000,000"
3,Zack Wheeler,2020,SP,UFA,NYM,PHI,5,"$118,000,000","$23,600,000"
4,Josh Donaldson,2020,3B,UFA,ATL,MIN,4,"$92,000,000","$23,000,000"
5,Madison Bumgarner,2020,SP,UFA,SF,ARI,5,"$85,000,000","$17,000,000"
6,Hyun-Jin Ryu,2020,SP,UFA,LAD,TOR,4,"$80,000,000","$20,000,000"
7,Yasmani Grandal,2020,C,UFA,MIL,CHW,4,"$73,000,000","$18,250,000"
8,Nick Castellanos,2020,RF,UFA,CHC,CIN,4,"$64,000,000","$16,000,000"
9,Mike Moustakas,2020,3B,UFA,MIL,CIN,4,"$64,000,000","$16,000,000"
10,Dallas Keuchel,2020,SP,UFA,ATL,CHW,3,"$55,500,000","$18,500,000"
11,Will Smith,2020,RP,UFA,SF,ATL,3,"$40,000,000","$13,333,333"
12,Drew Pomeranz,2020,RP,UFA,MIL,SD,4,"$34,000,000","$8,500,000"
13,Kyle Gibson,2020,SP,UFA,MIN,TEX,3,"$28,000,000","$9,333,333"
14,Will Harris,2020,RP,UFA,HOU,WSH,3,"$24,000,000","$8,000,000"
15,Tanner Roark,2020,SP,UFA,OAK,TOR,2,"$24,000,000","$12,000,000"
16,Michael Pineda,2020,SP,UFA,MIN,MIN,2,"$20,000,000","$10,000,000"
17,Avisail Garcia,2020,RF,UFA,TB,MIL,2,"$20,000,000","$10,000,000"
18,Cole Hamels,2020,SP,UFA,CHC,ATL,1,"$18,000,000","$18,000,000"
19,Marcell Ozuna,2020,LF,UFA,STL,ATL,1,"$18,000,000","$18,000,000"
20,Corey Dickerson,2020,LF,UFA,PHI,MIA,2,"$17,500,000","$8,750,000"
21,Kole Calhoun,2020,RF,UFA,LAA,ARI,2,"$16,000,000","$8,000,000"
22,Jordan Lyles,2020,SP,UFA,MIL,TEX,2,"$16,000,000","$8,000,000"
23,Travis d'Arnaud,2020,C,UFA,TB,ATL,2,"$16,000,000","$8,000,000"
24,Wade Miley,2020,SP,UFA,HOU,CIN,2,"$15,000,000","$7,500,000"
25,Didi Gregorius,2020,SS,UFA,NYY,PHI,1,"$14,000,000","$14,000,000"
26,Brett Gardner,2020,LF,UFA,NYY,NYY,1,"$12,500,000","$12,500,000"
27,Starlin Castro,2020,2B,UFA,MIA,WSH,2,"$12,000,000","$6,000,000"
28,Edwin Encarnacion,2020,DH,UFA,NYY,CHW,1,"$12,000,000","$12,000,000"
29,Daniel Hudson,2020,RP,UFA,WSH,WSH,2,"$11,000,000","$5,500,000"
30,Dellin Betances,2020,RP,UFA,NYY,NYM,1,"$10,500,000","$10,500,000"
31,Rick Porcello,2020,SP,UFA,BOS,NYM,1,"$10,000,000","$10,000,000"
32,Yan Gomes,2020,C,UFA,WSH,WSH,2,"$10,000,000","$5,000,000"
33,Blake Treinen,2020,RP,UFA,OAK,LAD,1,"$10,000,000","$10,000,000"
34,Josh Lindblom,2020,SP,UFA,PIT,MIL,3,"$9,125,000","$3,041,667"
35,Julio Teheran,2020,SP,UFA,ATL,LAA,1,"$9,000,000","$9,000,000"
36,Craig Stammen,2020,RP,UFA,SD,SD,2,"$9,000,000","$4,500,000"
37,Kevin Gausman,2020,SP,UFA,CIN,SF,1,"$9,000,000","$9,000,000"
38,Joe Smith,2020,RP,UFA,HOU,HOU,2,"$8,000,000","$4,000,000"
39,Jake Diekman,2020,RP,UFA,OAK,OAK,2,"$7,500,000","$3,750,000"
40,Homer Bailey,2020,SP,UFA,OAK,MIN,1,"$7,000,000","$7,000,000"
41,Martin Maldonado,2020,C,UFA,HOU,HOU,2,"$7,000,000","$3,500,000"
42,Jason Castro,2020,C,UFA,MIN,LAA,1,"$6,850,000","$6,850,000"
43,Robinson Chirinos,2020,C,UFA,HOU,TEX,1,"$6,750,000","$6,750,000"
44,Howie Kendrick,2020,2B,UFA,WSH,WSH,1,"$6,250,000","$6,250,000"
45,Wilmer Flores,2020,1B,UFA,ARI,SF,2,"$6,250,000","$3,125,000"
46,Jonathan Schoop,2020,2B,UFA,MIN,DET,1,"$6,100,000","$6,100,000"
47,C.J. Cron,2020,1B,UFA,MIN,DET,1,"$6,100,000","$6,100,000"
48,Steve Cishek,2020,RP,UFA,CHC,CHW,1,"$6,000,000","$6,000,000"
49,Martin Perez,2020,SP,UFA,MIN,BOS,1,"$6,000,000","$6,000,000"
50,Adam Wainwright,2020,SP,UFA,STL,STL,1,"$5,000,000","$5,000,000"
51,Todd Frazier,2020,3B,UFA,NYM,TEX,1,"$5,000,000","$5,000,000"
52,Justin Smoak,2020,1B,UFA,TOR,MIL,1,"$5,000,000","$5,000,000"
53,Brett Anderson,2020,SP,UFA,OAK,MIL,1,"$5,000,000","$5,000,000"
54,Sergio Romo,2020,RP,UFA,MIN,MIN,1,"$5,000,000","$5,000,000"
55,Gio Gonzalez,2020,SP,UFA,MIL,CHW,1,"$5,000,000","$5,000,000"
56,Eric Sogard,2020,3B,UFA,TB,MIL,1,"$4,500,000","$4,500,000"
