"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV",""
"","Corey Seager","2022","SS","UFA","LAD","TEX","10","$325,000,000","$32,500,000",""
"","Kris Bryant","2022","OF","UFA","SF","COL","7","$182,000,000","$26,000,000",""
"","Marcus Semien","2022","2B","UFA","TOR","TEX","7","$175,000,000","$25,000,000",""
"","Freddie Freeman","2022","1B","UFA","ATL","LAD","6","$162,000,000","$27,000,000",""
"","Javier Baez","2022","SS","UFA","NYM","DET","6","$140,000,000","$23,333,333",""
"","Trevor Story","2022","SS","UFA","COL","BOS","6","$140,000,000","$23,333,333",""
"","Max Scherzer","2022","SP","UFA","LAD","NYM","3","$130,000,000","$43,333,333",""
"","Robbie Ray","2022","SP","UFA","TOR","SEA","5","$115,000,000","$23,000,000",""
"","Kevin Gausman","2022","SP","UFA","SF","TOR","5","$110,000,000","$22,000,000",""
"","Carlos Correa","2022","SS","UFA","HOU","MIN","3","$105,300,000","$35,100,000",""
"","Nick Castellanos","2022","RF","UFA","CIN","PHI","5","$100,000,000","$20,000,000",""
"","Kyle Schwarber","2022","LF","UFA","BOS","PHI","4","$79,000,000","$19,750,000",""
"","Starling Marte","2022","CF","UFA","OAK","NYM","4","$78,000,000","$19,500,000",""
"","Eduardo Rodriguez","2022","SP","UFA","BOS","DET","5","$77,000,000","$15,400,000",""
"","Marcus Stroman","2022","SP","UFA","NYM","CHC","3","$71,000,000","$23,666,667",""
"","Chris Taylor","2022","2B","UFA","LAD","LAD","4","$60,000,000","$15,000,000",""
"","Raisel Iglesias","2022","RP","UFA","LAA","LAA","4","$58,000,000","$14,500,000",""
"","Jon Gray","2022","SP","UFA","COL","TEX","4","$56,000,000","$14,000,000",""
"","Avisail Garcia","2022","RF","UFA","MIL","MIA","4","$53,000,000","$13,250,000",""
"","Justin Verlander","2022","SP","UFA","HOU","HOU","2","$50,000,000","$25,000,000",""
"","Carlos Rodon","2022","SP","UFA","CHW","SF","2","$44,000,000","$22,000,000",""
"","Steven Matz","2022","SP","UFA","TOR","STL","4","$44,000,000","$11,000,000",""
"","Yusei Kikuchi","2022","SP","UFA","SEA","TOR","3","$36,000,000","$12,000,000",""
"","Anthony DeSclafani","2022","SP","UFA","SF","SF","3","$36,000,000","$12,000,000",""
"","Jorge Soler","2022","DH","UFA","ATL","MIA","3","$36,000,000","$12,000,000",""
"","Anthony Rizzo","2022","1B","UFA","NYY","NYY","2","$32,000,000","$16,000,000",""
"","Mark Canha","2022","LF","UFA","OAK","NYM","2","$26,500,000","$13,250,000",""
