"RANK","PLAYER (230)","POS","AGE","YOE","B/T","TEAM FROM","TEAM TO","YRS","VALUE","AAV","WAR"
"","","","","","","","","316","$1,765,065,813","$5,585,651",""
"1","Robinson Canó","DH/2B","31.8","8.153","L/R","NYY","SEA","10","$240,000,000","$24,000,000",""
"2","Jacoby Ellsbury","CF","30.9","6.037","L/L","BOS","NYY","7","$153,000,000","$21,857,143",""
"3","Shin-Soo Choo","DH/RF","32.1","6.119","L/L","CIN","TEX","7","$130,000,000","$18,571,429",""
"4","Brian McCann","C","30.5","8.117","L/R","ATL","NYY","5","$85,000,000","$17,000,000",""
"5","Curtis Granderson","LF","33.4","4.077","L/R","NYY","NYM","4","$60,000,000","$15,000,000",""
"6","Jhonny Peralta","3B","32.2","2.118","R/R","DET","STL","4","$53,000,000","$13,250,000",""
"7","Matt Garza","SP/SP5","30.8","0.149","R/R","TEX","MIL","4","$50,000,000","$12,500,000",""
"8","Ricky Nolasco","SP/SP1","31.7","0.142","R/R","LAD","MIN","4","$49,000,000","$12,250,000",""
"9","Carlos Beltrán","DH/RF","37.3","9.014","R","STL","NYY","3","$45,000,000","$15,000,000",""
"T10","Jason Vargas","SP/SP5","31.5","","L/L","LAA","KC","4","$32,000,000","$8,000,000",""
"T10","Mike Napoli","1B/DH","32.8","7.151","R/R","BOS","BOS","2","$32,000,000","$16,000,000",""
"12","Omar Infante","2B","32.7","3.027","R/R","DET","KC","4","$30,250,000","$7,562,500",""
"13","Scott Feldman","SP/SP1","31.5","1.091","L/R","BAL","HOU","3","$30,000,000","$10,000,000",""
"14","Tim Hudson","SP/SP5","39.1","14.119","R/R","ATL","ATL","3","$28,000,000","$9,333,333",""
"15","Carlos Ruiz","C","35.6","7.069","R/R","PHI","PHI","3","$26,000,000","$8,666,667",""
"16","Phil Hughes","RP","28.2","0.113","R/R","NYY","MIN","3","$24,000,000","$8,000,000",""
"17","Bronson Arroyo","SP/SP5","37.5","3.15","R/R","CIN","ARI","2","$23,500,000","$11,750,000",""
"18","Scott Kazmir","SP","30.6","7.119","L/L","CLE","OAK","2","$22,000,000","$11,000,000",""
"T19","Jarrod Saltalamacchia","C","29.4","","R","BOS","MIA","3","$21,000,000","$7,000,000",""
"T19","James Loney","1B","30.2","","L/L","TB","TB","3","$21,000,000","$7,000,000",""
"T21","Joe Nathan","RP","39.8","4.12","R/R","TEX","DET","2","$20,000,000","$10,000,000",""
"T21","Bartolo Colon","SP/SP2","41.2","9.061","R/R","OAK","NYM","2","$20,000,000","$10,000,000",""
"23","Brian Wilson","RP","32.4","","","LAD","LAD","2","$19,000,000","$9,500,000",""
"24","Boone Logan","RP","30.0","0.14","R/L","NYY","COL","3","$16,500,000","$5,500,000",""
"T25","A.J. Burnett","SP/SP3","37.6","14.038","R/R","PIT","PHI","1","$16,000,000","$16,000,000",""
"T25","Hiroki Kuroda","","39.5","","","NYY","NYY","1","$16,000,000","$16,000,000",""
"T25","Marlon Byrd","","36.9","1.11","R/R","PIT","PHI","2","$16,000,000","$8,000,000",""
"28","Joe Smith","RP","30.4","6.091","R/R","CLE","LAA","3","$15,750,000","$5,250,000",""
"29","Joaquin Benoit","RP","37.2","5.04","R/R","DET","SD","2","$15,500,000","$7,750,000",""
"30","Juan Uribe","3B","35.4","4.089","R/R","LAD","LAD","2","$15,000,000","$7,500,000",""
"31","Ervin Santana","SP/SP1","31.7","8.104","R/R","KC","ATL","1","$14,100,000","$14,100,000",""
"32","Fernando Rodney","RP","37.4","10.137","R/R","TB","SEA","2","$14,000,000","$7,000,000",""
"33","Javier Lopez","RP","37.1","0.167","L/L","SF","SF","3","$13,000,000","$4,333,333",""
"34","Justin Morneau","1B","33.2","9.168","L/R","PIT","COL","2","$12,500,000","$6,250,000",""
"35","David Murphy","DH","32.8","6.087","L/L","TEX","CLE","2","$12,000,000","$6,000,000",""
"36","J.P. Howell","RP","31.3","0.0069999999999997","L/L","LAD","LAD","2","$11,250,000","$5,625,000",""
"37","Mike Pelfrey","RP","30.6","0.122","R/R","MIN","MIN","2","$11,000,000","$5,500,000",""
"38","Nate McLouth","LF","32.8","","L/R","BAL","WSH","2","$10,750,000","$5,375,000",""
"39","Brad Ziegler","RP","34.8","","R/R","ARI","ARI","2","$10,500,000","$5,250,000",""
"40","Stephen Drew","2B/SS","31.4","1.038","L/R","BOS","BOS","1","$10,093,443","$10,093,443",""
"T41","Rajai Davis","CF","33.8","2.043","R/R","TOR","DET","2","$10,000,000","$5,000,000",""
