Rank,Player,Pos,Team,GP,GP%,GS,GS%,AB,H,2B,3B,HR,RBI,AVG,OBP,SLG,OPS,WAR,TVS,Cash2023
,Freddie Freeman,1B,LAD,161,0.982,161,0.982,637,211,59,2,29,102,0.331,0.41,0.567,0.976,6.62,97.78,"$20,000,000"
,Luis Arraez,2B,MIA,147,0.896,141,0.86,574,203,30,3,10,69,0.354,0.393,0.469,0.861,4.87,82.64,"$10,600,000"
,Marcus Semien,2B,TEX,162,1,162,1,670,185,40,4,29,100,0.276,0.348,0.478,0.826,7.37,87.76,"$26,000,000"
,Julio Rodriguez,CF,SEA,156,0.963,155,0.957,654,180,37,2,32,103,0.275,0.333,0.485,0.818,5.32,89.03,"$10,000,000"
,Austin Riley,3B,ATL,159,0.976,159,0.976,636,179,32,3,37,97,0.281,0.346,0.516,0.861,5.85,84.88,"$21,000,000"
,Bobby Witt Jr.,SS,KC,158,0.969,157,0.963,641,177,28,11,30,96,0.276,0.319,0.495,0.813,4.35,96.09,"$9,777,777"
,Bo Bichette,SS,TOR,135,0.833,134,0.827,571,175,30,3,20,73,0.307,0.339,0.475,0.814,4.83,74.08,"$11,000,000"
,Nico Hoerner,2B,CHC,150,0.926,149,0.92,619,175,27,4,9,68,0.283,0.346,0.383,0.729,4.95,89.32,"$11,500,000"
,Yandy Diaz,1B,TB,137,0.841,133,0.816,525,173,35,0,22,78,0.33,0.41,0.522,0.932,5.15,96.14,"$8,000,000"
,José Ramírez,3B,CLE,156,0.963,156,0.963,611,172,36,5,24,80,0.282,0.356,0.475,0.831,5.12,81.67,"$17,000,000"
,Matt Olson,1B,ATL,162,0.994,162,0.994,608,172,27,3,54,139,0.283,0.389,0.604,0.993,7.37,99.24,"$22,000,000"
,Steven Kwan,LF,CLE,158,0.975,154,0.951,638,171,36,7,5,54,0.268,0.34,0.37,0.71,3.57,70.92,"$757,600"
,Xander Bogaerts,SS,SD,155,0.951,154,0.945,596,170,31,2,19,58,0.285,0.35,0.44,0.79,4.39,49.14,"$25,000,000"
,Nick Castellanos,RF,PHI,157,0.963,156,0.957,626,170,37,2,29,106,0.272,0.312,0.476,0.788,1.61,35.77,"$20,000,000"
,Trea Turner,SS,PHI,155,0.951,155,0.951,639,170,35,5,26,76,0.266,0.32,0.459,0.778,3.58,49.88,"$27,272,727"
,Lane Thomas,RF,WSH,157,0.969,154,0.951,628,168,36,3,28,86,0.268,0.315,0.468,0.783,3.3,82.03,"$5,450,000"
,Ozzie Albies,2B,ATL,148,0.908,148,0.908,596,167,30,5,33,109,0.28,0.336,0.513,0.849,4.69,94.21,"$7,000,000"
,Bryson Stott,2B,PHI,151,0.926,144,0.883,585,164,32,2,15,62,0.28,0.329,0.419,0.747,4.37,83.03,"$768,000"
,Alex Bregman,3B,HOU,161,0.994,161,0.994,622,163,28,4,25,98,0.262,0.363,0.441,0.804,4.87,71.68,"$28,500,000"
,Kyle Tucker,RF,HOU,157,0.969,156,0.963,574,163,37,5,29,112,0.284,0.369,0.517,0.886,5.41,98.51,"$12,000,000"
,Gleyber Torres,2B,NYY,158,0.969,153,0.939,596,163,28,2,25,68,0.274,0.347,0.453,0.8,2.91,65.89,"$14,200,000"
,Nate Lowe,1B,TEX,161,0.994,161,0.994,623,163,38,3,17,82,0.262,0.361,0.414,0.775,2.57,68.79,"$7,500,000"
,Adley Rutschman,C,BAL,154,0.951,149,0.92,588,163,31,1,20,80,0.277,0.374,0.435,0.809,4.31,88.07,"$760,300"
,Brandon Nimmo,CF,NYM,152,0.933,150,0.92,592,162,30,6,24,68,0.274,0.363,0.466,0.829,3.99,63.8,"$20,250,000"
,Teoscar Hernandez,RF,SEA,160,0.988,159,0.982,625,161,29,2,26,93,0.258,0.305,0.435,0.741,2.12,34.76,"$15,000,000"
,Corbin Carroll,RF,ARI,155,0.951,146,0.896,565,161,30,10,25,76,0.285,0.362,0.506,0.868,5.42,97.03,"$3,000,000"
,Paul Goldschmidt,1B,STL,154,0.951,154,0.951,593,159,31,0,25,80,0.268,0.363,0.447,0.81,3.37,50.74,"$26,000,000"
,Vladimir Guerrero Jr.,1B,TOR,156,0.963,154,0.951,602,159,30,0,26,94,0.264,0.345,0.444,0.788,1.97,48.47,"$19,900,000"
